API路径,HTTP方法,处理函数,服务层调用,仓库层调用,备注
/api/v1/roles/:id/menus,GET,roleMenuHandler.GetRoleMenus,RoleMenuService.GetUserMenusByID(roleID),RoleMenuRepo.GetRoleMenuByID(roleId),获取角色的菜单权限
/api/v1/roles/:id/menus,DELETE,roleMenuHandler.RemoveMenuFromRole,"RoleMenuService.RemoveMenuFromRole(roleID, req.MenuIDs)","RoleMenuRepo.DeleteRoleMenus(roleID, menuIDs)",移除角色的菜单权限
/api/v1/roles/:id/policies,POST,permissionHandler.AddPolicy,"PermissionService.AddPolicy(roleID, req.Path, req.Method)","RoleRepo.GetIdent(roleID) + casbin.Enforcer.AddPolicy(sub, path, method)",为角色添加权限策略（Casbin）
/api/v1/roles/:id/policies,DELETE,permissionHandler.RemovePolicy,"PermissionService.RemovePolicy(roleID, req.Path, req.Method)","RoleRepo.GetIdent(roleID) + casbin.Enforcer.RemovePolicy(sub, path, method)",移除角色的权限策略（Casbin）
/api/v1/roles/:id/policies,GET,permissionHandler.GetPolicies,PermissionService.GetPolicies(roleID),"RoleRepo.GetIdent(roleID) + casbin.Enforcer.GetFilteredPolicy(0, sub)",获取角色的权限策略（Casbin）
/api/v1/permissions,POST,permissionHandler.CreatePermission,PermissionService.CreatePermission(req),PermissionRepo.Create(permission),创建权限资源
/api/v1/permissions,GET,permissionHandler.GetPermissions,"PermissionService.GetPermissions(limit, offset, path, method)","PermissionRepo.List(limit, offset, path, method) + PermissionRepo.GetTotal(path, method)",获取权限资源列表（分页）
/api/v1/permissions/all,GET,permissionHandler.GetAllPermissions,"PermissionService.GetAllPermissions(path, method)","PermissionRepo.GetAll(path, method)",获取所有权限资源（不分页）
/api/v1/permissions/:id,GET,permissionHandler.GetPermission,PermissionService.GetPermissionByID(permissionID),PermissionRepo.GetByID(id),获取权限资源详情
/api/v1/permissions/:id,PUT,permissionHandler.UpdatePermission,PermissionService.UpdatePermission(req),PermissionRepo.Update(permission),更新权限资源
/api/v1/permissions/:id/status,PUT,permissionHandler.UpdatePermissionStatus,"PermissionService.UpdatePermissionStatus(permissionID, status)","PermissionRepo.UpdateStatus(id, status)",更新权限资源状态
/api/v1/permissions/:id,DELETE,permissionHandler.DeletePermission,PermissionService.DeletePermission(permissionID),PermissionRepo.Delete(id),删除权限资源
/api/v1/policies,GET,permissionHandler.GetAllPolicies,PermissionService.GetAllPolicies(),casbin.Enforcer.GetPolicy(),获取所有权限策略
